Idade,Sexo,Peso,Altura,Tipo sanguineo,Gosto Musical,Pratica Esporte,Jogo preferido,Forca,Velocidade,Inteligencia
70,M,84.1,1.81,A-,Funk,Nada,FIFA,60.0,63.5,66.5
72,M,75.1,1.83,B+,Demais generos estranhos,Nada,World of Warcraft,53.0,45.5,74.0
31,F,58.3,1.8,AB+,Eletronica,Volei,The Witcher,67.5,66.5,89.5
14,F,42.8,1.5,A-,Eletronica,Nada,Fortnite,36.5,37.0,46.5
78,M,75.0,1.74,A+,Rock,Nada,Counter-Strike,42.0,32.0,82.0
18,F,64.3,1.83,B-,Demais generos estranhos,eSports,Assassin's Creed,58.5,53.0,93.5
55,F,71.9,1.77,B+,Demais generos estranhos,eSports,Outro - pouco relevante,29.0,28.0,87.0
40,F,63.8,1.83,AB-,Rock,Volei,Counter-Strike,62.5,65.5,92.0
48,M,83.2,1.82,O-,Pagode,Luta,Minecraft,79.0,49.0,77.5
74,M,81.6,1.82,O+,Funk,Nada,Fortnite,16.5,14.5,77.0
29,M,75.5,1.77,O-,Rock,eSports,The Witcher,58.0,55.5,83.5
36,M,76.7,1.72,AB-,Funk,eSports,FIFA,55.5,48.5,95.5
38,F,62.3,1.71,B-,Eletronica,Basquete,Rocket League,74.0,74.5,89.5
24,F,72.8,1.81,A-,Hip-Hop/Rap,Basquete,Minecraft,85.5,86.0,85.5
62,F,59.6,1.79,O-,Pop,Nada,The Witcher,24.0,23.5,54.5
32,F,55.8,1.78,AB-,Hip-Hop/Rap,Volei,World of Warcraft,67.5,52.5,96.0
49,M,78.5,1.76,A+,Hip-Hop/Rap,Luta,Assassin's Creed,87.5,58.5,77.0
50,M,78.3,1.9,O-,Pop,Volei,Rocket League,64.0,59.0,88.0
57,F,70.4,1.82,A+,Eletronica,Luta,FIFA,63.5,35.5,73.0
23,F,55.2,1.82,B+,Sertanejo,Atletismo,Fortnite,89.0,100,72.5
39,F,65.5,1.79,AB+,Demais generos estranhos,Luta,League of Legends,74.5,63.0,88.0
38,F,55.9,1.74,B-,Pagode,Basquete,Outro - pouco relevante,71.5,64.0,84.5
22,F,68.7,1.79,B+,Pagode,Luta,Valorant,88.5,76.0,69.0
19,M,71.2,1.95,B-,Pop,Luta,Dota,100,71.5,72.5
38,F,56.8,1.71,B+,Hip-Hop/Rap,Volei,League of Legends,67.0,60.0,94.5
40,M,76.5,1.88,O+,Eletronica,Basquete,Valorant,85.0,74.0,90.5
74,M,70.2,1.8,B-,Sertanejo,Nada,League of Legends,12.5,12.5,53.5
57,F,58.0,1.73,A-,Rock,Nada,Fortnite,22.5,21.0,59.0
74,F,63.9,1.77,AB-,Metal,Nada,Counter-Strike,48.0,55.5,61.0
64,F,65.7,1.84,A-,Hip-Hop/Rap,Volei,FIFA,49.0,38.5,90.5
29,M,66.6,1.95,B-,Pop,eSports,The Witcher,63.0,56.5,90.0
13,M,53.3,1.6,AB-,Funk,Luta,Assassin's Creed,76.0,55.0,60.0
21,F,69.0,1.8,AB+,Rock,Nada,Rocket League,61.0,58.0,62.0
26,M,74.3,1.76,AB+,Pagode,eSports,FIFA,61.0,60.5,90.5
67,M,77.5,1.93,AB+,Hip-Hop/Rap,Nada,Minecraft,54.0,60.0,65.5
26,M,77.4,1.79,AB-,Sertanejo,Basquete,FIFA,100,94.0,88.5
32,F,65.5,1.81,O+,Sertanejo,Atletismo,Counter-Strike,65.5,80.0,75.5
46,M,73.2,1.94,B-,Sertanejo,Futebol,Dota,62.5,74.5,80.5
61,F,63.8,1.75,O+,Pop,Nada,Valorant,24.5,22.5,60.5
55,F,55.9,1.76,O-,Demais generos estranhos,Luta,Valorant,60.5,35.0,71.0
52,F,70.7,1.79,A-,Hip-Hop/Rap,Nada,Outro - pouco relevante,20.5,23.0,53.5
22,F,67.5,1.7,A+,Eletronica,Basquete,World of Warcraft,94.5,87.0,96.5
41,F,66.0,1.84,O+,Pagode,Atletismo,Counter-Strike,64.0,84.5,74.5
72,F,59.1,1.84,B+,Demais generos estranhos,Nada,Dota,45.5,53.0,68.5
25,M,71.6,1.71,B+,Pop,Atletismo,Dota,92.0,99.0,67.5
29,M,76.4,1.87,AB-,Sertanejo,Basquete,FIFA,94.0,88.0,89.5
79,F,72.0,1.77,B-,Rock,Nada,Valorant,43.5,43.0,68.5
12,M,39.8,1.53,AB+,Eletronica,Nada,Counter-Strike,41.5,37.5,40.5
52,M,69.7,1.72,A-,Funk,eSports,Outro - pouco relevante,24.5,22.0,84.0
74,F,55.4,1.82,AB+,Hip-Hop/Rap,Nada,Fortnite,16.5,17.0,80.0
40,M,83.2,1.93,AB-,Metal,Futebol,FIFA,76.5,66.5,76.0
56,M,80.0,1.82,B-,Demais generos estranhos,Futebol,Minecraft,54.0,49.0,71.5
53,F,64.1,1.79,O-,Demais generos estranhos,Futebol,Valorant,54.5,51.5,70.0
42,M,73.9,1.86,A+,Pagode,Luta,The Witcher,82.5,48.0,81.0
26,F,55.7,1.7,A-,Pagode,Futebol,Assassin's Creed,77.5,80.5,78.5
40,F,57.3,1.84,AB-,Pop,Futebol,Rocket League,55.0,68.0,84.0
61,M,72.4,1.84,A+,Pop,eSports,Fortnite,32.5,21.0,78.0
65,F,66.2,1.73,A-,Rock,Volei,World of Warcraft,51.5,37.5,89.5
48,M,70.6,1.88,O+,Pagode,eSports,Rocket League,45.0,41.5,86.5
25,M,82.5,1.81,AB+,Funk,Nada,Counter-Strike,63.5,60.0,59.0
73,M,77.6,1.89,A+,Funk,Nada,Outro - pouco relevante,44.0,38.0,64.5
36,M,78.8,1.84,AB-,Pagode,Futebol,Dota,68.0,69.5,78.5
40,M,81.9,1.83,A-,Pop,Luta,The Witcher,89.5,54.0,75.0
26,F,54.9,1.75,B-,Pop,Luta,League of Legends,98.5,77.0,78.0
62,M,67.5,1.7,O-,Rock,Nada,The Witcher,30.0,20.5,54.0
22,M,68.8,1.79,O-,Demais generos estranhos,Atletismo,The Witcher,95.5,100,62.0
58,M,79.7,1.82,B-,Rock,Futebol,Assassin's Creed,50.0,49.5,70.5
12,F,60.9,1.57,AB-,Demais generos estranhos,Luta,Outro - pouco relevante,76.5,56.5,63.0
61,M,68.3,1.82,O-,Eletronica,eSports,FIFA,26.0,21.0,87.5
76,F,68.4,1.73,B+,Metal,Nada,Outro - pouco relevante,53.5,28.0,66.5
42,F,61.2,1.79,B-,Hip-Hop/Rap,Luta,Rocket League,84.0,52.0,76.5
39,F,66.1,1.76,A-,Sertanejo,Atletismo,FIFA,67.5,84.5,78.0
40,F,65.0,1.82,A+,Metal,Volei,Minecraft,71.0,50.5,91.5
73,M,83.2,1.78,B+,Sertanejo,Nada,Dota,51.0,57.0,62.0
32,M,79.0,1.77,A+,Sertanejo,Basquete,League of Legends,84.0,73.0,99.0
24,M,77.2,1.77,A+,Metal,Atletismo,Assassin's Creed,83.0,97.0,69.5
15,F,66.0,1.63,AB+,Eletronica,Basquete,Outro - pouco relevante,71.5,70.5,76.0
